,start time,end time,cumulative rainfall,rainfall duration,maximum 48-hour rainfall,rainfall in the previous 10 days,Wan San cumulative rainfall,flood peak,flood peak time,water level,rising flow
227,2021/4/1 4:00,2021/4/2 13:00,11,33,13.6,31,15,3470,2021/4/2 6:00,165.1,1383.076923
228,2021/4/6 16:00,2021/4/7 14:00,24,22,24.7,42,28,4530,2021/4/7 20:00,163.6,1632.307692
229,2021/4/16 4:00,2021/4/16 10:00,5,6,5.9,25,1,2480,2021/4/16 20:00,161.8,1097
230,2021/4/19 22:00,2021/4/20 13:00,7,15,7.7,6,8,1580,2021/4/20 6:00,161.9,789.2307692
231,2021/4/23 5:00,2021/4/24 14:00,29,33,30.1,16,44,8130,2021/4/24 16:00,160.6,629.4615385
232,2021/5/2 21:00,2021/5/3 12:00,23,15,23.8,31,21,3130,2021/5/3 20:00,158.4,664.4615385
233,2021/5/5 1:00,2021/5/5 9:00,10,8,10,26,5,3070,2021/5/5 6:00,158.7,2079.230769
234,2021/5/6 3:00,2021/5/6 10:00,5,7,5.4,35,0,2480,2021/5/6 18:00,158.5,1506.153846
235,2021/5/11 7:00,2021/5/11 19:00,6,12,6.3,39,4,3170,2021/5/12 2:00,156.2,1245.384615
236,2021/5/13 6:00,2021/5/15 13:00,44,55,42.5,32,50,8330,2021/5/15 6:00,154.4,1060
237,2021/5/16 7:00,2021/5/16 16:00,6,9,6.9,52,11,4470,2021/5/16 20:00,154.6,3338.461538
238,2021/5/25 9:00,2021/5/26 10:00,15,25,16.5,11,16,3100,2021/5/26 20:00,150.5,838.8461538
239,2021/6/3 5:00,2021/6/3 14:00,10,9,10.4,16,8,2560,2021/6/3 20:00,148.1,1453.846154
240,2021/6/9 7:00,2021/6/10 4:00,15,21,15.6,10,17,2540,2021/6/9 20:00,145.2,1111.153846
241,2021/6/17 12:00,2021/6/19 14:00,52,50,52.7,20,75,7040,2021/6/19 12:00,146.5,606.9230769
242,2021/6/27 1:00,2021/6/28 21:00,18,44,22.1,54,10,2380,2021/6/29 10:00,146.4,547.6923077
243,2021/7/2 10:00,2021/7/3 21:00,19,35,21.7,27,24,4810,2021/7/3 10:00,146.8,119.2307692
244,2021/7/4 14:00,2021/7/8 12:00,82,94,56,47,105,23040,2021/7/7 14:00,147.6,1676.153846
245,2021/7/10 5:00,2021/7/10 10:00,5,5,5.7,111,9,6530,2021/7/10 20:00,146.3,4393.076923
246,2021/7/11 5:00,2021/7/12 13:00,27,32,27.5,116,24,5910,2021/7/11 20:00,146.3,4339.230769
247,2021/7/15 16:00,2021/7/17 16:00,17,48,19.3,98,13,2820,2021/7/16 10:00,147.6,1936.153846
248,2021/7/18 14:00,2021/7/20 0:00,15,34,16.8,54,13,6520,2021/7/19 12:00,150.4,128.4615385
249,2021/7/26 17:00,2021/7/27 17:00,7,24,7.9,34,8,2990,2021/7/27 12:00,147,367.6923077
250,2021/8/8 5:00,2021/8/9 14:00,54,33,54.2,7,40,5400,2021/8/9 10:00,146,754.6153846
251,2021/8/10 5:00,2021/8/11 23:00,25,42,26.4,60,33,7000,2021/8/11 22:00,145.9,1861.538462
252,2021/8/12 14:00,2021/8/13 19:00,36,29,36.1,86,31,11260,2021/8/13 16:00,146,4792.307692
253,2021/8/23 0:00,2021/8/23 19:00,45,19,45.5,34,37,8340,2021/8/23 16:00,146.2,1861.076923
254,2021/8/25 9:00,2021/8/27 12:00,81,51,81.4,50,94,18030,2021/8/26 16:00,149,4468.461538
255,2021/8/28 4:00,2021/8/29 18:00,43,38,43.8,129,58,20520,2021/8/29 14:00,153.7,10160.76923
256,2021/9/5 19:00,2021/9/7 7:00,44,36,45,73,57,13130,2021/9/6 14:00,161.9,370.7692308
257,2021/9/11 13:00,2021/9/12 6:00,7,17,8,46,3,1140,2021/9/12 12:00,165.5,261.5384615
258,2021/9/16 10:00,2021/9/19 14:00,65,76,43.3,26,66,13340,2021/9/19 16:00,165.6,49.23076923
259,2021/9/28 7:00,2021/9/28 22:00,10,15,10.1,36,15,1425,2021/9/29 4:00,167.8,151
260,2021/10/6 20:00,2021/10/7 16:00,21,20,21.6,10,25,4782,2021/10/7 21:00,169,0
261,2021/10/10 0:00,2021/10/11 1:00,17,25,17,22,15,2917,2021/10/10 8:00,171.1,1261.846154
