,start time,end time,cumulative rainfall,rainfall duration,maximum 48-hour rainfall,rainfall in the previous 10 days,Wan San cumulative rainfall,flood peak,flood peak time,water level,rising flow
52,2015/9/24 3:00,2015/9/25 12:00,22,33,23.5,41,27,3147,2015/9/24 22:00,163.9,934.4550385
53,2015/10/1 3:00,2015/10/1 9:00,5,6,5.6,27,3,2793,2015/10/1 8:00,166.8,1120.795346
54,2015/10/3 9:00,2015/10/4 9:00,9,24,10.2,32,7,3814,2015/10/4 10:00,169.1,2629.293615
55,2015/10/25 8:00,2015/10/25 17:00,7,9,7.7,4,10,1629,2015/10/26 6:00,174.4,482.6270769
56,2015/10/26 9:00,2015/10/26 18:00,13,9,13,12,22,3410,2015/10/26 18:00,174.4,632.9288846
57,2015/11/24 3:00,2015/11/24 16:00,5,13,5.9,0,6,1369,2015/11/24 22:00,174,238.0677308
58,2016/1/7 3:00,2016/1/7 12:00,5,9,5.3,1,5,1917,2016/1/7 20:00,173.6,148.1690769
59,2016/3/7 19:00,2016/3/9 21:00,26,50,26.9,3,26,2341,2016/3/9 0:00,167.2,119.729
60,2016/4/2 22:00,2016/4/3 10:00,11,12,11.5,2,13,2371,2016/4/3 12:00,166.8,488.7819231
61,2016/4/5 4:00,2016/4/6 17:00,15,37,16.4,13,21,2121,2016/4/6 18:00,166.6,848.2244615
62,2016/4/17 2:00,2016/4/17 11:00,15,9,16,7,17,3193,2016/4/17 16:00,164.4,638.8046923
63,2016/4/22 13:00,2016/4/23 1:00,8,12,9,27,7,1834,2016/4/22 18:00,164,1311.900192
64,2016/5/6 19:00,2016/5/7 23:00,29,28,29.9,7,26,3546,2016/5/7 20:00,156.4,477.3833077
65,2016/5/9 2:00,2016/5/9 13:00,6,11,6.6,36,4,2200,2016/5/9 10:00,156.7,891.166
66,2016/5/14 12:00,2016/5/15 5:00,13,17,13,38,14,1879,2016/5/15 12:00,154.5,319.4951154
67,2016/5/19 5:00,2016/5/20 8:00,18,27,18.2,18,19,2281,2016/5/20 10:00,152.5,1007.581577
68,2016/5/26 3:00,2016/5/27 17:00,15,38,16.8,22,18,3238,2016/5/26 12:00,149.8,739.7456923
69,2016/6/1 0:00,2016/6/2 16:00,54,40,54.5,20,58,15982,2016/6/2 14:00,147,1353.282692
70,2016/6/19 5:00,2016/6/20 5:00,14,24,15,9,7,2567,2016/6/19 12:00,145.9,1306.074269
71,2016/6/23 22:00,2016/6/25 11:00,58,37,58.5,22,81,15210,2016/6/24 20:00,146.4,921.683
72,2016/6/26 8:00,2016/6/27 7:00,10,23,10.8,76,10,6561,2016/6/27 0:00,146.6,3533.8135
73,2016/6/30 5:00,2016/7/1 8:00,61,27,61.9,72,66,18449,2016/7/1 6:00,147.4,3132.932808
74,2016/7/12 14:00,2016/7/15 6:00,43,64,40.2,7,55,9734,2016/7/15 6:00,152.7,872.8876923
75,2016/7/19 5:00,2016/7/20 0:00,28,19,28.4,48,29,9565,2016/7/19 20:00,155.4,1501.953462
76,2016/7/28 2:00,2016/7/28 17:00,5,15,5.9,30,3,647,2016/7/29 2:00,154.6,270.1933077
77,2016/8/3 15:00,2016/8/5 17:00,12,50,14.8,11,22,1488,2016/8/5 16:00,149.2,14.085
78,2016/8/6 15:00,2016/8/6 21:00,6,6,6,23,6,1354,2016/8/7 8:00,148.5,880.8430385
79,2016/8/25 17:00,2016/8/27 12:00,15,43,17.1,2,12,1563,2016/8/26 18:00,145.9,328.2917692
80,2016/9/9 5:00,2016/9/9 12:00,5,7,5.7,4,1,1321,2016/9/9 10:00,145.8,63.33223077
81,2016/9/24 10:00,2016/9/27 12:00,19,74,16.3,0,30,2045,2016/9/27 12:00,159.9,661.2476923
82,2016/10/26 22:00,2016/10/29 6:00,25,56,21.8,13,32,4711,2016/10/29 4:00,173.4,1418.278
83,2016/11/6 21:00,2016/11/9 12:00,42,63,35.4,21,36,6833,2016/11/9 9:00,174.5,1371.224115
84,2017/2/21 4:00,2017/2/22 5:00,8,25,10,1,11,1771,2017/2/22 16:00,167.5,593.0441154
85,2017/3/12 13:00,2017/3/13 12:00,12,23,13.8,2,16,2205,2017/3/13 6:00,165.8,880.0133077
86,2017/3/30 7:00,2017/3/30 14:00,7,7,7.3,5,8,1911,2017/3/31 3:00,164.2,592.0105
87,2017/4/5 7:00,2017/4/5 20:00,7,13,7.2,11,7,2392,2017/4/6 4:00,162.4,1010.788154
88,2017/4/7 18:00,2017/4/10 10:00,33,64,33.2,19,43,9276,2017/4/9 16:00,162,1086.608923
89,2017/4/16 12:00,2017/4/17 0:00,12,12,12.8,34,18,4126,2017/4/16 18:00,162.1,1586.533385
90,2017/4/20 7:00,2017/4/20 20:00,8,13,8.6,14,6,2079,2017/4/20 20:00,161.6,1216.491769
91,2017/4/24 14:00,2017/4/27 2:00,18,60,18.3,21,17,2291,2017/4/26 10:00,160.6,918.7266923
92,2017/5/2 13:00,2017/5/3 18:00,27,29,28.1,19,35,8014,2017/5/3 16:00,159.9,931.4274615
93,2017/5/6 2:00,2017/5/7 6:00,6,28,8,34,4,3859,2017/5/6 20:00,159.8,2372.868346
94,2017/5/11 1:00,2017/5/11 15:00,32,14,32.6,40,33,10962,2017/5/11 14:00,158.3,1440.462269
