name,test_name,dissimilarity_space,dissimilarity_time
140,232,0.261034,0.494309
176,232,0.235464,0.462539
157,232,0.229547,0.449928
95,232,0.270804,0.470500
63,233,0.279078,0.455607
54,233,0.245455,0.490639
164,233,0.267956,0.474175
133,233,0.270240,0.439042
99,233,0.289529,0.427623
93,233,0.254466,0.490357
90,233,0.280793,0.444915
155,233,0.290156,0.398932
156,233,0.292575,0.449601
198,233,0.297698,0.375893
53,234,0.226411,0.523737
65,234,0.234054,0.512903
172,234,0.238665,0.448422
155,234,0.273642,0.450439
22,234,0.228677,0.511206
78,234,0.233129,0.518546
63,234,0.306464,0.478372
76,234,0.244760,0.451048
105,234,0.265460,0.502012
134,234,0.236371,0.512454
172,235,0.256229,0.412669
65,235,0.235295,0.391914
155,235,0.271100,0.407449
53,235,0.216452,0.440182
105,235,0.248091,0.443309
22,235,0.250013,0.475813
63,235,0.250497,0.467732
78,235,0.234997,0.502411
177,235,0.259112,0.415997
193,235,0.210453,0.447994
74,236,0.251664,0.434992
199,236,0.242558,0.496943
51,236,0.243182,0.445719
162,236,0.249783,0.458652
110,236,0.237022,0.460176
40,236,0.234852,0.456947
45,236,0.215624,0.484864
130,236,0.240689,0.477498
116,236,0.238218,0.475354
83,236,0.266477,0.509368
44,237,0.194001,0.489379
8,237,0.266567,0.469875
41,237,0.230580,0.496378
114,237,0.274677,0.428536
72,237,0.228950,0.465093
109,237,0.265452,0.458753
118,237,0.255518,0.511210
54,237,0.256127,0.507766
177,237,0.208308,0.478821
93,237,0.256487,0.518170
61,238,0.239857,0.467181
62,238,0.247277,0.473990
183,238,0.240323,0.478763
85,238,0.236606,0.472339
68,238,0.233864,0.498281
67,238,0.255882,0.435637
131,238,0.229641,0.494525
191,238,0.221004,0.437232
28,238,0.233889,0.430844
151,238,0.251472,0.469374
90,239,0.274291,0.446593
63,239,0.270847,0.460309
198,239,0.291238,0.432108
99,239,0.265003,0.444075
103,239,0.242983,0.438896
156,239,0.280085,0.450621
87,239,0.252186,0.475100
3,239,0.224722,0.462740
193,239,0.238618,0.442899
155,239,0.262363,0.418286
62,240,0.252824,0.442409
85,240,0.209287,0.458046
194,240,0.235154,0.463545
70,240,0.240840,0.427509
183,240,0.242827,0.386162
61,240,0.199226,0.479225
67,240,0.263829,0.441282
191,240,0.236470,0.434450
28,240,0.235986,0.453537
131,240,0.218208,0.446610
71,241,0.232491,0.459561
69,241,0.255372,0.415385
130,241,0.245657,0.464507
12,241,0.274350,0.461521
96,241,0.226975,0.470050
14,241,0.222031,0.516745
199,241,0.255744,0.456184
40,241,0.196655,0.471024
17,241,0.226369,0.420044
108,241,0.217553,0.452207
46,242,0.235543,0.536873
128,242,0.239100,0.459063
158,242,0.267532,0.479822
98,242,0.235521,0.480804
151,242,0.231826,0.479131
52,242,0.202444,0.471365
161,242,0.248076,0.454416
170,242,0.214864,0.496766
165,242,0.206209,0.487203
176,242,0.242231,0.463254
125,243,0.234825,0.459683
176,243,0.212480,0.457603
167,243,0.220471,0.475751
151,243,0.217361,0.459301
52,243,0.237915,0.506160
185,243,0.216290,0.481345
28,243,0.262654,0.457121
13,243,0.243917,0.472137
4,243,0.220423,0.467277
67,243,0.225826,0.482071
115,244,0.244954,0.457740
14,244,0.236627,0.470885
100,244,0.247654,0.445814
12,244,0.236906,0.438886
71,244,0.195070,0.466614
15,244,0.227577,0.435613
17,244,0.243408,0.473987
69,244,0.246552,0.430452
208,244,0.239609,0.447866
73,244,0.238927,0.465170
72,245,0.243756,0.441122
203,245,0.297419,0.448408
114,245,0.276721,0.449673
44,245,0.269753,0.455117
102,245,0.251190,0.485632
41,245,0.289724,0.488970
8,245,0.294694,0.491498
39,245,0.296533,0.486163
177,245,0.267412,0.459367
117,245,0.302064,0.479771
202,246,0.252576,0.474609
206,246,0.272728,0.440503
201,246,0.269969,0.488602
203,246,0.239716,0.459081
159,246,0.263553,0.468865
113,246,0.233484,0.437559
98,246,0.256642,0.460413
101,246,0.247865,0.480826
200,246,0.261832,0.460722
6,246,0.212229,0.422087
102,247,0.224132,0.470785
161,247,0.254279,0.427373
160,247,0.284586,0.475121
98,247,0.229261,0.458043
200,247,0.209209,0.496112
158,247,0.265733,0.446240
128,247,0.250317,0.478407
46,247,0.265928,0.532022
42,247,0.222277,0.479716
203,247,0.249973,0.518724
165,248,0.227950,0.468373
128,248,0.237634,0.462122
106,248,0.239358,0.473138
66,248,0.228970,0.423007
179,248,0.246476,0.492434
148,248,0.263500,0.485264
195,248,0.276445,0.489536
68,248,0.224563,0.521956
33,248,0.234776,0.464171
97,248,0.270445,0.444969
34,249,0.220218,0.435785
