name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak
132,0.2054,26,7241,228,4530
157,0.2155,25,2783,228,4530
201,0.2363,24,6965,228,4530
53,0.0251,5,2793,229,2480
78,0.0642,6,1354,229,2480
134,0.1045,5,2235,229,2480
22,0.1046,5,1381,229,2480
65,0.1059,6,2200,229,2480
172,0.1147,6,1958,229,2480
139,0.1191,5,1020,229,2480
76,0.1217,5,647,229,2480
24,0.1334,5,2031,229,2480
63,0.1352,8,1834,229,2480
86,0.0469,7,1911,230,1580
87,0.051,7,2392,230,1580
55,0.0609,7,1629,230,1580
23,0.0654,6,1637,230,1580
103,0.0662,7,1866,230,1580
144,0.0711,6,1551,230,1580
29,0.0726,7,1798,230,1580
36,0.0756,6,1487,230,1580
182,0.0767,9,2126,230,1580
120,0.0819,8,2678,230,1580
142,0.1043,30,4615,231,8130
135,0.1266,28,11701,231,8130
21,0.1587,30,10357,231,8130
92,0.1823,27,8014,231,8130
180,0.2149,36,4804,231,8130
104,0.2172,33,5897,231,8130
147,0.219,33,2611,231,8130
64,0.2308,29,3546,231,8130
88,0.2531,33,9276,231,8130
168,0.2703,32,5747,231,8130
132,0.1502,26,7241,232,3130
124,0.1588,22,5410,232,3130
52,0.1724,22,3147,232,3130
125,0.183,24,3512,232,3130
143,0.1932,25,4492,232,3130
170,0.1936,24,4700,232,3130
140,0.2072,24,2416,232,3130
176,0.2076,21,5137,232,3130
157,0.2219,25,2783,232,3130
95,0.2397,27,4025,232,3130
63,0.1269,8,1834,233,3070
54,0.1437,9,3814,233,3070
164,0.1555,11,3234,233,3070
133,0.1615,8,2875,233,3070
99,0.1752,10,2281,233,3070
93,0.1775,6,3859,233,3070
90,0.1788,8,2079,233,3070
155,0.182,7,1921,233,3070
156,0.1838,10,3096,233,3070
198,0.1874,14,2938,233,3070
53,0.0887,5,2793,234,2480
65,0.1122,6,2200,234,2480
172,0.1202,6,1958,234,2480
155,0.1299,7,1921,234,2480
22,0.1358,5,1381,234,2480
78,0.1557,6,1354,234,2480
63,0.1684,8,1834,234,2480
76,0.1708,5,647,234,2480
105,0.1742,6,3431,234,2480
134,0.1858,5,2235,234,2480
172,0.0423,6,1958,235,3170
65,0.0474,6,2200,235,3170
155,0.079,7,1921,235,3170
53,0.1011,5,2793,235,3170
105,0.1036,6,3431,235,3170
22,0.118,5,1381,235,3170
63,0.1206,8,1834,235,3170
78,0.1317,6,1354,235,3170
177,0.1332,6,2676,235,3170
193,0.1363,10,2675,235,3170
74,0.2661,43,9734,236,8330
199,0.2672,41,8656,236,8330
51,0.2735,41,4414,236,8330
162,0.276,41,7276,236,8330
110,0.306,45,13075,236,8330
40,0.3259,48,11719,236,8330
45,0.3442,42,6591,236,8330
130,0.3466,46,10694,236,8330
116,0.4087,41,17994,236,8330
83,0.4196,42,6833,236,8330
44,0.1485,5,3651,237,4470
8,0.1652,8,6365,237,4470
41,0.1803,5,3749,237,4470
114,0.1823,9,3988,237,4470
72,0.2625,10,6561,237,4470
109,0.2941,9,4333,237,4470
118,0.2994,10,6636,237,4470
54,0.3146,9,3814,237,4470
177,0.3153,6,2676,237,4470
93,0.3208,6,3859,237,4470
61,0.0838,15,2121,238,3100
62,0.0951,15,3193,238,3100
183,0.0961,16,2351,238,3100
85,0.0997,12,2205,238,3100
68,0.1058,15,3238,238,3100
67,0.1109,18,2281,238,3100
131,0.1187,18,3258,238,3100
191,0.1219,13,1809,238,3100
28,0.1234,17,5009,238,3100
151,0.1356,18,2757,238,3100
90,0.0883,8,2079,239,2560
63,0.098,8,1834,239,2560
198,0.0998,14,2938,239,2560
99,0.103,10,2281,239,2560
103,0.1106,7,1866,239,2560
