name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak,hydrological similarity,temporal similarity,spatial similarity,fusion similarity
98,0.296,21,5921,242,2380,0.296,0.480804,0.235521,1318.9855674354667
151,0.3008,18,2757,242,2380,0.3008,0.479131,0.231826,1338.701281595369
52,0.3038,22,3147,242,2380,0.3038,0.471365,0.202444,1352.748352746799
161,0.3136,15,3909,242,2380,0.3136,0.454416,0.248076,1382.048373859898
170,0.314,24,4700,242,2380,0.314,0.496766,0.214864,1400.1228634206611
165,0.3183,13,3034,242,2380,0.3183,0.487203,0.206209,1416.2187685338185
176,0.3335,21,5137,242,2380,0.3335,0.463254,0.242231,1466.9811615939616
125,0.1528,24,3512,243,4810,0.1528,0.459683,0.234825,725.5587339703773
176,0.1642,21,5137,243,4810,0.1642,0.457603,0.21248,774.7370359194566
167,0.1774,17,1408,243,4810,0.1774,0.475751,0.220471,832.9612109664695
151,0.1852,18,2757,243,4810,0.1852,0.459301,0.217361,860.7257636100168
52,0.1899,22,3147,243,4810,0.1899,0.50616,0.237915,890.5167150067775
185,0.1912,17,2359,243,4810,0.1912,0.481345,0.21629,891.7250705584963
28,0.2072,17,5009,243,4810,0.2072,0.457121,0.262654,944.3066447424571
13,0.2165,22,1875,243,4810,0.2165,0.472137,0.243917,989.2233357404353
4,0.2173,20,3948,243,4810,0.2173,0.467277,0.220423,994.2775323607793
67,0.2181,18,2281,243,4810,0.2181,0.482071,0.225826,1001.0226112014435
115,0.4002,77,25066,244,23040,0.4002,0.45774,0.244954,1738.7231208591616
